
"31182","24/7 CUSTOMER PRIVATE LIMITED","A","","","NA"
"31183","2COMS CONSULTING PRIVATE LIMIT","B","","","NA"
"31184","3D PLM SOFTWARE SOLUTIONS LIMI","A","","","NA"
"31185","3F INDUSTRIES LIMITED","A","","","NA"
"31186","3F OIL PALM AGROTECH PVT LTD","A","","","NA"
"31187","3I INFOTECH LIMITED","A","","","NA"
"31188","3M ELECTRO COMMUNICATION INDI","A","","","NA"
"31189","3M INDIA LIMITED","A","","","NA"
"31190","63 MOONS TECHNOLOGIES LIMITED","A","","","NA"
"31191","A A AUTOTECH PRIVATE LIMITED","A","","","NA"
"31192","A B HOTELS LIMITED","A","","","NA"
"31193","A B SUGARS LIMITED","A","","","NA"
"31194","A D S SPIRITS PRIVATE LIMITED","A","","","NA"
"31195","A G PREMIUM STEERINGS AND MOUL","A","","","NA"
"31196","A INNOVATIVE INTERNATIONAL LI","A","","","NA"
"31197","A K CAPITAL SERVICES LIMITED","A","","","NA"
"31198","A P ORGANICS LIMITED","A","","","NA"
"31199","A P REFINERY PRIVATE LIMITED","A","","","NA"
"31200","A R B BEARINGS LIMITED","A","","","NA"
"31201","A R SULPHONATES PRIVATE LIMITE","A","","","NA"
"31202","A T E ENTERPRISES PRIVATE LIMI","A","","","NA"
"31203","A V THOMAS AND CO LTD","A","","","NA"
"31204","A V THOMAS LEATHER  ALLIED PR","A","","","NA"
"31205","A2Z INFRASERVICES LIMITED","A","","","NA"
"31206","A2Z ONLINE SERVICES PRIVATE LI","A","","","NA"
"31207","AACHI MASALA FOODS PRIVATE LIM","A","","","NA"
"31208","AACHVIS SEZ INFRA PRIVATE LIMI","A","","","NA"
"31209","AADIT AUTO COMPANY PRIVATE LIM","A","","","NA"
"31210","AAISWARYA DYEING MILLS PRIVATE","A","","","NA"
"31211","AAK KAMANI PVT LTD","A","","","NA"
"31212","AAKAASH MANUFACTURING COMPANY","A","","","NA"
"31213","AAKASH EDUCATIONAL SERVICES LI","A","","","NA"
"31214","AAKASH EDUCATIONAL SERVICES PR","A","","","NA"
"31215","AAKASH GLOBAL FOODS PRIVATE LI","A","","","NA"
"31216","AARKAY INNOVATIONS LIMITED","A","","","NA"
"31217","AARNAV FABRICS PRIVATE LIMITED","A","","","NA"
"31218","AARNAV INDUSTRIES PRIVATE LIMI","A","","","NA"
"31219","AARTI DRUGS LIMITED","A","","","NA"
"31220","AARTI INDUSTRIES LTD","A","","","LIFE TIME FREE"
"31221","AARTI INTERNATIONAL LIMITED","A","","","NA"
"31222","AARTI STEELS LIMITED","A","","","NA"
"31223","AARVEE ASSOCIATES ARCHITECTS E","A","","","NA"
"31224","AARVEE DENIMS AND EXPORTS LTD","A","","","NA"
"31225","AARVI ENCON LIMITED","A","","","NA"
"31226","AARVI ENCON PRIVATE LIMITED","A","","","NA"
"31227","AARYA TRANS SOLUTIONS PRIVATE","A","","","NA"
"31228","AASAN CORPORATE SOLUTIONS PRIV","A","","","NA"
"31229","AASHIANA ROLLING MILLS LIMITED","A","","","NA"
"31230","AATHAVA GARMENTS INDIA PRIVATE","A","","","NA"
"31231","AAVALI PRINTS PRIVATE LIMITED","A","","","NA"
"31232","AAVANTIKA GAS LIMITED","A","","","NA"
"31233","AAVAS FINANCIERS LIMITED","A","","","NA"
"31234","AAYUSH NRI LEPL HEALTHCARE PRI","A","","","NA"
"31235","AB GRAIN SPIRITS PRIVATE LIM","A","","","NA"
"31236","AB MAURI INDIA PRIVATE LIMITED","A","","","NA"
"31237","ABBOTT HEALTHCARE PRIVATE LIMI","A","","","NA"
"31238","ABC INDIA LIMITED","A","","","NA"
"31239","ABHAY NUTRITION PVT LTD","A","","","NA"
"31240","ABHI ENGINEERING CORPORATION P","A","","","NA"
"31241","ABHISHEK ALLOYS PRIVATE LIMITE","A","","","NA"
"31242","ABHISHRI PACKAGING PRIVATE LIM","A","","","NA"
"31243","ABILITIES INDIA PISTONS AND RI","A","","","NA"
"31244","ABIS EXPORTS INDIA PRIVATE L","A","","","NA"
"31245","ABISHOWATECH INDIA LIMITED","A","","","NA"
"31246","ABM KNOWLEDGEWARE LIMITED","A","","","NA"
"31247","ABM TELE MOBILES INDIA PRIVATE","A","","","NA"
"31248","ABMOTORS PRIVATE LIMITED","A","","","NA"
"31249","ABP NEWS NETWORK PRIVATE LIMIT","A","","","NA"
"31250","ABP PRIVATE LIMITED","A","","","NA"
"31251","ABS ELECTROPLATERS INDIA PRI","A","","","NA"
"31252","ABS INDIA PVT LTD","A","","","NA"
"31253","ABS MARINE SERVICES PRIVATE LI","A","","","NA"
"31254","ACB INDIA LIMITED","SUPER A","","","LIFE TIME FREE"
"31255","ACCELETRADE TECHNOLOGIES PRIVA","A","","","NA"
"31256","ACCELYA KALE SOLUTIONS LIMITED","A","","","NA"
"31257","ACCELYA SOLUTIONS INDIA LIMITE","A","","","NA"
"31258","ACCELYST SOLUTIONS PRIVATE LIM","A","","","NA"
"31259","ACCENT HOTELS PRIVATE LIMITED","A","","","NA"
"31260","ACCENTURE SOLUTIONS PRIVATE LI","SUPER A","","","LIFE TIME FREE"
"31261","ACCESS HEALTHCARE SERVICES PRI","A","","","NA"
"31262","ACCIL AUTO STEELS PRIVATE LIMI","A","","","NA"
"31263","ACCORD SOFTWARE AND SYSTEMS PR","A","","","NA"
"31264","ACCRA PAC INDIA PRIVATE LIMITE","A","","","NA"
"31265","ACCUMAX INTERIOR PRODUCTS PRIV","A","","","NA"
